iter	Passed	Remaining
308	462	1033
309	462	1030
310	463	1026
311	463	1022
312	464	1019
313	466	1018
314	466	1014
315	467	1012
316	468	1009
317	469	1006
318	470	1003
319	470	1000
320	471	996
321	471	993
322	472	990
323	473	986
324	473	983
325	474	980
326	474	977
327	475	973
328	475	970
329	476	967
330	477	964
331	477	961
332	478	958
333	480	957
334	481	954
335	481	951
336	482	948
337	482	945
338	483	942
339	484	939
340	484	937
341	485	934
342	486	931
343	486	928
344	487	925
345	487	922
346	488	919
347	489	916
348	489	913
349	490	910
350	490	907
351	491	904
352	491	901
353	492	898
354	493	895
355	494	894
356	495	892
357	496	890
358	497	887
359	497	885
360	498	882
361	499	880
362	500	877
363	500	875
364	501	872
365	502	869
366	502	866
367	503	864
368	503	861
369	504	858
370	504	856
371	505	853
372	506	850
373	506	848
374	507	845
375	507	842
376	509	841
377	510	839
378	510	837
379	511	834
380	512	832
381	512	829
382	513	827
383	514	824
384	514	822
385	515	819
386	515	817
387	516	814
388	516	812
389	517	809
390	518	807
391	518	804
392	519	802
393	520	799
394	520	797
395	521	794
396	521	792
397	522	790
398	522	787
399	524	786
400	525	784
401	525	782
402	526	779
403	527	777
404	527	775
405	528	773
406	528	770
407	529	768
408	530	766
409	530	763
410	531	761
411	531	759
412	532	756
413	533	754
414	533	752
415	534	749
416	534	747
417	535	745
418	536	743
419	536	741
420	537	738
421	537	736
422	539	736
423	540	734
424	541	732
425	542	730
426	543	729
427	544	727
428	545	725
429	545	723
430	546	721
431	547	719
432	548	718
433	549	716
434	549	714
435	550	711
436	550	709
437	551	707
438	552	705
439	552	703
440	553	702
441	554	700
442	555	698
443	556	696
444	556	694
445	557	692
446	558	690
447	558	688
448	559	686
449	559	684
450	560	682
451	561	680
452	561	678
453	562	676
454	562	674
455	563	672
456	564	670
457	564	668
458	565	666
459	565	664
460	566	662
461	567	660
462	567	658
463	569	657
464	570	656
465	571	654
466	571	652
467	572	650
468	573	649
469	574	647
470	575	645
471	575	643
472	576	642
473	576	640
474	577	638
475	577	636
476	578	634
477	579	632
478	579	630
479	580	628
480	580	626
481	581	624
482	582	623
483	582	621
484	584	620
485	585	618
486	585	617
487	586	615
488	587	613
489	588	612
490	589	610
491	589	609
492	590	607
493	591	605
494	591	603
495	592	601
496	592	600
497	593	598
498	594	596
499	594	594
500	595	592
501	595	591
502	596	589
503	596	587
504	597	585
505	598	584
506	599	582
507	600	581
508	600	579
509	601	577
510	601	575
511	602	574
512	603	572
513	603	570
514	604	569
515	605	567
516	605	565
517	606	564
518	606	562
519	607	560
520	607	558
521	608	557
522	609	555
523	609	553
524	610	552
525	610	550
526	611	548
527	612	547
528	613	546
529	614	544
530	614	543
531	615	541
532	616	539
533	616	538
534	617	536
535	617	534
536	618	533
537	619	531
538	619	530
539	620	528
540	621	527
541	621	525
542	622	523
543	623	522
544	623	520
545	624	519
546	625	517
547	625	516
548	626	514
549	627	513
550	628	511
551	629	510
552	629	508
553	630	507
554	630	505
555	631	504
556	632	502
557	632	501
558	633	499
559	633	497
560	634	496
561	634	494
562	635	493
563	636	491
564	636	490
565	637	488
566	637	487
567	638	485
568	639	484
569	639	482
570	640	481
571	641	480
572	642	478
573	643	477
574	643	475
575	644	474
576	645	472
577	645	471
578	646	469
579	646	468
580	647	466
581	648	465
582	648	463
583	649	462
584	649	460
585	650	459
586	650	457
587	651	456
588	652	455
589	652	453
590	653	452
591	654	450
592	654	449
593	655	448
594	656	446
595	657	445
596	657	444
597	658	442
598	659	441
599	659	439
600	660	438
601	660	436
602	661	435
603	662	434
604	662	432
605	663	431
606	663	429
607	664	428
608	664	426
609	665	425
610	666	424
611	666	422
612	667	421
613	667	419
614	668	418
615	669	417
616	669	415
617	671	415
618	672	413
619	672	412
620	673	411
621	674	409
622	674	408
623	675	406
624	675	405
625	676	404
626	677	402
627	677	401
628	678	400
629	678	398
630	679	397
631	679	395
632	680	394
633	681	393
634	681	391
635	682	390
636	682	389
637	683	387
638	684	386
639	685	385
640	686	384
641	686	383
642	687	381
643	688	380
644	689	379
645	690	378
646	690	376
647	691	375
648	692	374
649	692	372
650	693	371
651	693	370
652	694	368
653	694	367
654	695	366
655	696	365
656	696	363
657	697	362
658	697	361
659	698	359
660	699	358
661	700	357
662	701	356
663	701	355
664	702	353
665	703	352
666	703	351
667	704	350
668	705	348
669	706	347
670	706	346
671	707	345
672	708	344
673	708	342
674	709	341
675	710	340
676	711	339
677	711	338
678	712	336
679	713	335
680	714	334
681	715	333
682	716	332
683	717	331
684	719	330
685	720	329
686	721	328
687	722	327
688	724	326
689	725	326
690	726	325
691	728	324
692	731	323
693	732	322
694	733	322
695	734	320
696	735	319
697	736	318
698	737	317
699	738	316
700	740	315
701	740	314
702	742	313
703	743	312
704	745	311
705	746	310
706	747	309
707	748	308
708	749	307
709	751	306
710	752	305
711	752	304
712	753	303
713	754	302
714	756	301
715	759	301
716	760	300
717	761	299
718	762	298
719	763	297
720	764	295
721	765	294
722	766	293
723	767	292
724	767	291
725	768	290
726	769	288
727	770	287
728	770	286
729	771	285
730	772	284
731	773	283
732	774	282
733	776	281
734	777	280
735	778	279
736	780	278
737	782	277
738	782	276
739	784	275
740	785	274
741	787	273
742	788	272
743	789	271
744	790	270
745	790	269
746	791	267
747	791	266
748	792	265
749	793	264
750	794	263
751	794	262
752	795	260
753	795	259
754	796	258
755	797	257
756	797	256
757	798	254
758	798	253
759	799	252
760	800	251
761	800	250
762	801	248
763	801	247
764	802	246
765	803	245
766	804	244
767	805	243
768	805	242
769	806	240
770	807	239
771	807	238
772	808	237
773	809	236
774	810	235
775	810	234
776	811	232
777	812	231
778	813	230
779	813	229
780	814	228
781	815	227
782	816	226
783	816	225
784	817	223
785	818	222
786	819	221
787	819	220
788	820	219
789	821	218
790	822	217
791	822	216
792	823	214
793	824	213
794	824	212
795	825	211
796	825	210
797	826	209
798	827	208
799	827	206
800	828	205
801	828	204
802	829	203
803	829	202
804	830	201
805	831	200
806	831	198
807	833	197
808	834	196
809	834	195
810	835	194
811	835	193
812	836	192
813	837	191
814	837	190
815	838	189
816	838	187
817	839	186
818	839	185
819	840	184
820	841	183
821	841	182
822	842	181
823	843	180
824	843	178
825	844	177
826	844	176
827	845	175
828	846	174
829	846	173
830	847	172
831	848	171
832	849	170
833	849	169
834	850	168
835	851	166
836	851	165
837	852	164
838	852	163
839	853	162
840	854	161
841	854	160
842	855	159
843	855	158
844	856	157
845	857	156
846	857	154
847	858	153
848	858	152
849	859	151
850	860	150
851	860	149
852	861	148
853	863	147
854	863	146
855	864	145
856	865	144
857	865	143
858	866	142
859	866	141
860	867	140
861	868	138
862	868	137
863	869	136
864	869	135
865	870	134
866	870	133
867	871	132
868	872	131
869	872	130
870	873	129
871	874	128
872	875	127
873	876	126
874	877	125
875	878	124
876	879	123
877	879	122
878	880	121
879	881	120
880	882	119
881	883	118
882	884	117
883	884	116
884	885	115
885	886	114
886	886	112
887	887	111
888	887	110
889	888	109
890	889	108
891	889	107
892	890	106
893	890	105
894	891	104
895	892	103
896	893	102
897	894	101
898	895	100
899	896	99
900	896	98
901	897	97
902	897	96
903	898	95
904	898	94
905	899	93
906	900	92
907	900	91
908	901	90
909	901	89
910	902	88
911	903	87
912	903	86
913	904	85
914	904	84
915	905	83
916	906	82
917	907	81
918	908	80
919	908	79
920	909	78
921	910	77
922	911	76
923	911	74
924	912	73
925	912	72
926	913	71
927	914	70
928	914	69
929	915	68
930	915	67
931	916	66
932	917	65
933	917	64
934	918	63
935	918	62
936	919	61
937	920	60
938	920	59
939	921	58
940	922	57
941	923	56
942	924	55
943	924	54
944	925	53
945	925	52
946	926	51
947	927	50
948	927	49
949	928	48
950	928	47
951	929	46
952	930	45
953	930	44
954	931	43
955	931	42
956	932	41
957	933	40
958	933	39
959	934	38
960	934	37
961	935	36
962	936	35
963	937	35
964	938	34
965	938	33
966	939	32
967	940	31
968	940	30
969	941	29
970	941	28
971	942	27
972	943	26
973	943	25
974	944	24
975	944	23
976	945	22
977	946	21
978	946	20
979	947	19
980	947	18
981	948	17
982	949	16
983	949	15
984	950	14
985	950	13
986	952	12
987	953	11
988	953	10
989	954	9
990	954	8
991	955	7
992	956	6
993	956	5
994	957	4
995	958	3
996	959	2
997	959	1
998	960	0
999	960	0
